id,property_type,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,longitude,latitude,number_of_reviews,availability_365,review_scores_rating,minimum_nights,listing_url,region,price_per_person
128326,House,Entire home/apt,295.0,8,2.0,3.0,t,-98.00244,30.24395,181,317,94.0,3,https://www.airbnb.com/rooms/128326,West,36.875
140474,Bungalow,Entire home/apt,136.0,4,1.0,2.0,t,-97.73143,30.302259999999997,65,309,98.0,5,https://www.airbnb.com/rooms/140474,Central,34.0
140504,Bungalow,Entire home/apt,119.0,2,1.0,1.0,t,-97.72954,30.30242,58,346,98.0,5,https://www.airbnb.com/rooms/140504,Central,59.5
141550,Guesthouse,Entire home/apt,111.0,3,1.0,1.0,t,-97.72709,30.25582,439,163,97.0,1,https://www.airbnb.com/rooms/141550,East,37.0
145210,Guesthouse,Entire home/apt,129.0,2,1.0,1.0,t,-97.74143000000001,30.302190000000003,197,294,98.0,3,https://www.airbnb.com/rooms/145210,Central,64.5
154103,House,Entire home/apt,373.0,8,2.0,4.0,f,-97.78206,30.2515,14,289,100.0,3,https://www.airbnb.com/rooms/154103,South,46.625
155359,House,Entire home/apt,90.0,6,2.5,2.0,t,-97.88915,30.418129999999998,33,41,97.0,90,https://www.airbnb.com/rooms/155359,West,15.0
158398,House,Entire home/apt,499.0,8,3.0,4.0,f,-97.78381999999999,30.2521,11,362,98.0,3,https://www.airbnb.com/rooms/158398,South,62.375
167459,Bungalow,Entire home/apt,800.0,8,3.0,4.0,f,-97.79113000000001,30.277279999999998,7,362,91.0,3,https://www.airbnb.com/rooms/167459,West,100.0
172104,House,Entire home/apt,129.0,6,2.0,3.0,f,-97.82095,30.193179999999998,10,0,93.0,3,https://www.airbnb.com/rooms/172104,South,21.5
174828,House,Entire home/apt,346.0,10,2.0,4.0,t,-97.7142,30.33107,302,333,98.0,2,https://www.airbnb.com/rooms/174828,East,34.6
191719,House,Entire home/apt,270.0,6,2.0,2.0,t,-97.76114,30.25784,239,168,97.0,3,https://www.airbnb.com/rooms/191719,South,45.0
195674,House,Entire home/apt,750.0,10,2.5,4.0,f,-97.76723,30.258359999999996,29,360,99.0,2,https://www.airbnb.com/rooms/195674,South,75.0
202187,Guesthouse,Entire home/apt,85.0,2,1.0,1.0,t,-97.74526999999999,30.247759999999996,729,251,97.0,1,https://www.airbnb.com/rooms/202187,South,42.5
202753,Loft,Private room,300.0,2,1.0,1.0,f,-97.75819,30.275709999999997,10,87,100.0,3,https://www.airbnb.com/rooms/202753,Central,150.0
