,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,number_of_reviews,review_scores_rating,minimum_nights,price_per_person,region
296,Entire home/apt,260.0,7,2.0,3.0,t,173,97.0,3,37.142857142857146,Central
297,Entire home/apt,1200.0,10,3.0,4.0,f,11,100.0,3,120.0,Central
298,Entire home/apt,125.0,2,1.0,1.0,f,19,98.0,2,62.5,East
299,Entire home/apt,599.0,6,3.0,4.0,f,15,97.0,2,99.83333333333333,Central
300,Entire home/apt,144.0,2,1.0,1.0,t,548,99.0,1,72.0,Central
301,Entire home/apt,2250.0,8,3.5,4.0,f,0,96.09516770892553,5,281.25,Central
302,Entire home/apt,233.0,3,1.0,1.0,f,5,100.0,5,77.66666666666667,Central
303,Entire home/apt,1100.0,6,1.5,3.0,f,0,96.09516770892553,1,183.33333333333334,West
304,Entire home/apt,500.0,8,2.0,3.0,f,0,96.09516770892553,3,62.5,Central
305,Entire home/apt,25.0,2,1.0,2.0,f,81,98.0,30,12.5,Central
306,Entire home/apt,128.0,4,1.0,1.0,t,234,98.0,1,32.0,East
307,Entire home/apt,1300.0,9,3.5,5.0,f,11,100.0,2,144.44444444444446,Central
308,Entire home/apt,75.0,3,1.0,0.0,t,93,99.0,2,25.0,North
309,Entire home/apt,135.0,3,1.0,1.0,t,152,99.0,2,45.0,Central
310,Entire home/apt,140.0,2,1.0,1.0,t,58,99.0,2,70.0,East
311,Entire home/apt,215.0,8,2.5,3.0,t,68,99.0,2,26.875,East
312,Entire home/apt,7000.0,8,2.0,3.0,f,10,100.0,360,875.0,West
313,Entire home/apt,218.0,6,1.0,2.0,f,48,97.0,20,36.333333333333336,Central
314,Private room,26.0,2,1.0,1.0,t,49,98.0,30,13.0,East
315,Entire home/apt,700.0,4,2.0,2.0,f,8,94.0,4,175.0,Central
316,Entire home/apt,100.0,3,1.0,1.0,f,187,98.0,1,33.333333333333336,Central
317,Entire home/apt,500.0,6,2.0,3.0,t,3,100.0,3,83.33333333333333,Central
318,Entire home/apt,600.0,8,3.0,4.0,f,18,100.0,3,75.0,Central
319,Entire home/apt,1000.0,14,2.0,5.0,t,221,99.0,2,71.42857142857143,Central
320,Entire home/apt,119.0,5,1.0,2.0,t,172,98.0,2,23.8,Central
321,Entire home/apt,59.0,2,1.0,0.0,f,3,100.0,90,29.5,Central
322,Entire home/apt,1200.0,8,3.5,4.0,f,0,96.09516770892553,3,150.0,West
323,Entire home/apt,375.0,10,2.0,3.0,f,0,96.09516770892553,3,37.5,South
324,Private room,68.0,2,1.0,1.0,t,12,98.0,30,34.0,North
325,Entire home/apt,300.0,8,2.0,4.0,t,72,99.0,3,37.5,North
326,Private room,125.0,2,1.0,1.0,f,2,90.0,30,62.5,Central
327,Entire home/apt,1250.0,6,2.5,3.0,f,0,96.09516770892553,1,208.33333333333334,East
328,Entire home/apt,1000.0,6,2.5,3.0,f,0,96.09516770892553,3,166.66666666666666,East
329,Entire home/apt,225.0,6,1.5,2.0,t,57,98.0,4,37.5,Central
330,Entire home/apt,262.0,6,1.0,2.0,t,78,99.0,3,43.666666666666664,Central
331,Entire home/apt,94.0,3,1.0,1.0,f,29,99.0,30,31.333333333333332,Central
332,Entire home/apt,300.0,7,2.0,3.0,f,24,94.0,5,42.857142857142854,Central
